record_id,customer_id,age,gender,region,employment_status,annual_income,credit_score,loan_type,loan_amount,annual_interest_rate,loan_term_months,loan_status,open_date,last_payment_date,last_payment_amount,balance_remaining,currency,debt_to_income_ratio,risk_band
13,CUST100013,35,Other,West,Self-employed,302713,713,Student,111708,4.95,24,Active,2023-01-11,2023-07-11,4258.72,48030.31,USD,0.1942,Medium
14,CUST100014,61,Other,North,Employed,231089,817,Mortgage,621470,3.67,360,Active,2017-03-18,2021-04-29,2312.53,5873.07,USD,0.148,Low
15,CUST100015,46,Other,North,Employed,303423,633,Auto,62565,6.16,36,Closed,2019-11-21,2019-11-22,1537.91,62565.0,USD,0.0755,High
16,CUST100016,47,Female,West,Retired,275155,649,Mortgage,1314629,5.58,12,Active,2024-01-10,2024-01-24,81288.52,750170.0,USD,4.9234,High
17,CUST100017,51,Male,North,Retired,62001,530,Credit Card,17135,19.53,12,Active,2022-08-01,2022-08-14,1524.77,15551.56,USD,0.3065,High
18,CUST100018,34,Male,East,Self-employed,159258,667,Personal,30964,9.79,24,Default,2015-09-29,2016-08-12,1567.53,11002.35,USD,0.1074,Medium
19,CUST100019,22,Other,South,Retired,159041,641,Mortgage,1943963,3.85,120,Active,2017-05-29,2020-06-14,19180.2,849532.89,USD,1.4746,High
20,CUST100020,59,Other,North,Retired,176960,752,Mortgage,1656960,4.94,120,Active,2018-10-19,2021-02-27,17299.02,307452.06,USD,1.1885,Low
21,CUST100021,34,Other,West,Unemployed,46633,627,Personal,3889,6.04,36,Active,2022-10-13,2023-01-03,117.97,1994.9,USD,0.0305,High
22,CUST100022,18,Male,North,Self-employed,306046,624,Credit Card,10705,17.59,12,Active,2019-02-04,2019-02-14,1037.69,5808.27,USD,0.0384,High
23,CUST100023,24,Female,Central,Student,345405,667,Auto,64040,3.09,180,Closed,2024-05-30,2025-08-19,465.33,17312.3,USD,0.0155,Medium
24,CUST100024,35,Male,North,Student,40302,747,Student,96660,5.53,60,Active,2018-02-20,2018-03-13,1436.1,94812.34,USD,0.5501,Medium
25,CUST100025,79,Female,East,Retired,229546,818,Personal,2808,7.38,120,Active,2017-08-22,2020-08-13,23.72,354.47,USD,0.0017,Low
26,CUST100026,68,Female,West,Retired,288132,686,Credit Card,46013,21.35,60,Delinquent,2019-09-21,2019-12-01,1353.63,12158.17,USD,0.0522,Medium
27,CUST100027,60,Male,East,Retired,182154,725,Personal,37333,7.53,240,Delinquent,2023-02-04,2025-08-19,292.67,0.0,USD,0.0199,Medium
28,CUST100028,37,Female,Central,Employed,179317,661,Credit Card,40758,20.51,360,Active,2020-08-04,2025-08-19,548.41,0.0,USD,0.0467,Medium
29,CUST100029,68,Other,South,Employed,168785,704,Personal,7120,15.82,60,Active,2023-03-08,2023-10-24,176.37,3843.18,USD,0.0123,Medium
30,CUST100030,80,Female,Central,Employed,258769,676,Auto,60328,4.73,60,Closed,2017-04-17,2017-04-28,1195.56,13956.33,USD,0.0524,Medium
31,CUST100031,74,Male,West,Self-employed,112215,802,Student,18164,6.79,24,Active,2020-10-03,2021-01-13,718.89,14917.92,USD,0.0868,Low
32,CUST100032,38,Female,Central,Retired,243735,775,Auto,72216,4.58,60,Active,2025-01-21,2025-08-19,1357.49,18257.89,USD,0.0664,Low
33,CUST100033,35,Female,North,Unemployed,142942,665,Credit Card,6280,13.8,60,Active,2019-12-07,2020-10-14,142.94,0.0,USD,0.0122,Medium
34,CUST100034,52,Female,West,Employed,128440,756,Credit Card,46581,12.25,240,Closed,2020-12-26,2021-01-25,438.04,46059.96,USD,0.0487,Low
35,CUST100035,72,Female,Central,Retired,336278,780,Personal,29562,11.83,240,Closed,2019-05-29,2025-08-19,318.68,0.0,USD,0.0115,Low
36,CUST100036,76,Male,Central,Retired,34138,802,Mortgage,276050,5.25,36,Active,2025-05-11,2025-08-19,5980.18,35219.88,USD,2.9191,Low
37,CUST100037,38,Female,West,Unemployed,241021,672,Mortgage,1670817,4.89,180,Active,2018-02-25,2019-09-10,13281.05,0.0,USD,0.6531,Medium
38,CUST100038,78,Male,South,Employed,345758,659,Mortgage,1282729,6.32,360,Active,2023-06-26,2025-08-19,6743.57,240430.91,USD,0.2761,Medium
39,CUST100039,63,Male,South,Unemployed,76674,813,Credit Card,45390,23.8,240,Active,2020-02-01,2024-07-13,663.48,0.0,USD,0.1422,Low
40,CUST100040,24,Other,East,Retired,83467,770,Mortgage,828139,4.86,180,Closed,2016-05-30,2023-09-03,5427.69,0.0,USD,0.9329,Low
41,CUST100041,70,Female,North,Student,209890,781,Auto,67080,3.62,120,Active,2022-07-18,2025-08-19,673.68,0.0,USD,0.0381,Low
42,CUST100042,55,Female,East,Self-employed,65436,658,Student,104349,5.68,360,Active,2025-03-07,2025-08-19,540.88,4031.85,USD,0.1108,Medium
43,CUST100043,35,Other,East,Retired,25322,702,Auto,63271,4.71,60,Active,2023-05-20,2025-03-11,1167.52,27702.59,USD,0.5619,Medium
44,CUST100044,36,Male,West,Self-employed,180540,726,Credit Card,35794,16.47,180,Active,2019-08-02,2025-08-19,434.48,0.0,USD,0.0357,Medium
45,CUST100045,30,Female,North,Retired,117071,578,Personal,48486,13.08,120,Active,2016-10-06,2018-12-10,594.42,0.0,USD,0.0744,High
46,CUST100046,63,Other,South,Unemployed,43863,723,Student,31892,8.36,120,Delinquent,2020-11-25,2023-05-16,328.69,7917.1,USD,0.1075,Medium
47,CUST100047,73,Female,North,Employed,230086,697,Mortgage,418194,3.52,120,Active,2016-08-04,2016-12-03,3821.49,289876.73,USD,0.2159,Medium
48,CUST100048,57,Male,Central,Student,256199,759,Credit Card,29103,15.97,12,Active,2022-06-23,2022-08-12,2848.79,61.6,USD,0.1237,Low
49,CUST100049,60,Male,South,Self-employed,111128,706,Student,123096,7.45,360,Active,2018-11-26,2019-03-24,698.25,109392.09,USD,0.0925,Medium
50,CUST100050,22,Other,South,Unemployed,347710,747,Auto,65723,3.4,60,Active,2022-11-25,2023-04-10,1229.23,54988.92,USD,0.0412,Medium
51,CUST100051,37,Other,Central,Unemployed,250242,575,Student,76367,6.5,360,Active,2020-07-19,2023-11-25,345.58,56576.65,USD,0.0231,High
52,CUST100052,34,Male,North,Self-employed,321569,709,Personal,38764,6.48,36,Active,2020-11-30,2022-09-28,1041.51,0.0,USD,0.0443,Medium
53,CUST100053,45,Other,West,Employed,266420,676,Mortgage,1898796,3.56,240,Active,2023-06-02,2025-08-19,10683.77,503864.53,USD,0.4987,Medium
54,CUST100054,20,Female,North,Unemployed,152329,679,Mortgage,1479213,6.04,360,Active,2020-04-09,2020-10-18,8081.73,1238731.95,USD,0.7016,Medium
55,CUST100055,46,Male,South,Unemployed,307949,646,Student,36831,4.14,60,Active,2023-08-07,2024-01-13,626.41,30024.72,USD,0.0265,High
56,CUST100056,71,Male,West,Employed,100725,699,Credit Card,47229,15.55,360,Active,2020-12-07,2025-08-19,568.88,0.0,USD,0.0736,Medium
57,CUST100057,50,Other,South,Employed,164833,622,Personal,1168,9.39,120,Active,2025-01-11,2025-08-19,15.74,39.75,USD,0.0011,High
58,CUST100058,39,Other,Central,Student,258731,616,Student,16441,5.59,360,Closed,2023-07-19,2025-08-19,103.27,0.0,USD,0.0044,High
59,CUST100059,59,Male,West,Employed,86189,700,Mortgage,1933310,5.96,24,Active,2021-07-15,2021-07-22,84706.56,734201.07,USD,11.925,Medium
60,CUST100060,27,Male,West,Unemployed,197503,721,Mortgage,1886281,4.15,240,Active,2019-03-11,2025-08-19,12147.02,33459.78,USD,0.7036,Medium
61,CUST100061,58,Other,East,Self-employed,67384,692,Mortgage,1030461,3.58,120,Active,2015-12-18,2016-03-10,10417.26,979318.67,USD,1.8215,Medium
62,CUST100062,27,Male,Central,Student,316709,722,Auto,20350,5.13,240,Active,2022-08-03,2025-08-19,122.06,0.0,USD,0.0051,Medium
63,CUST100063,58,Female,West,Unemployed,24926,776,Personal,45407,12.56,24,Delinquent,2020-08-04,2021-05-31,1761.75,21764.05,USD,1.0348,Low
64,CUST100064,47,Female,South,Student,273340,634,Personal,38670,9.55,120,Active,2015-11-19,2023-04-07,430.4,0.0,USD,0.022,High
65,CUST100065,67,Other,North,Retired,280428,736,Personal,15352,13.64,120,Active,2023-03-29,2025-08-19,228.55,0.0,USD,0.0101,Medium
66,CUST100066,58,Other,North,Unemployed,251118,624,Auto,21813,6.18,180,Closed,2024-01-08,2025-08-19,145.29,2075.96,USD,0.0089,High
67,CUST100067,74,Female,Central,Retired,162882,745,Student,82369,7.73,180,Active,2024-08-28,2025-08-19,840.32,59912.09,USD,0.0571,Medium
68,CUST100068,73,Other,West,Retired,211771,630,Personal,36164,7.48,180,Closed,2023-03-08,2025-08-19,312.68,0.0,USD,0.019,High
69,CUST100069,78,Female,North,Self-employed,267189,774,Auto,18285,5.22,360,Active,2023-07-02,2025-08-19,75.14,2787.83,USD,0.0045,Low
70,CUST100070,49,Male,North,Self-employed,301829,631,Credit Card,28467,19.64,36,Active,2025-07-26,2025-08-19,778.6,1096.25,USD,0.0419,High
71,CUST100071,78,Female,North,Unemployed,133911,582,Personal,7511,17.77,180,Active,2021-09-29,2025-08-19,86.7,0.0,USD,0.0107,High
72,CUST100072,78,Female,North,Self-employed,333076,737,Credit Card,14576,19.62,60,Active,2019-04-28,2020-02-24,389.02,0.0,USD,0.0138,Medium
73,CUST100073,80,Male,South,Retired,151414,734,Mortgage,376411,3.05,60,Active,2022-03-29,2022-04-14,5212.38,240971.41,USD,0.5367,Medium
74,CUST100074,51,Male,North,Student,255025,758,Mortgage,1047924,4.76,12,Active,2023-10-17,2024-09-18,81404.2,0.0,USD,4.2158,Low
75,CUST100075,21,Female,West,Student,76603,688,Mortgage,1985899,3.28,36,Active,2016-05-17,2016-07-26,55082.0,1521917.22,USD,9.0854,Medium
76,CUST100076,42,Other,Central,Unemployed,257877,701,Mortgage,1888435,5.29,60,Closed,2020-06-17,2021-02-05,31062.45,883555.79,USD,1.67,Medium
77,CUST100077,43,Female,North,Unemployed,243747,674,Auto,72163,3.23,24,Active,2016-09-06,2016-10-25,3102.27,31746.0,USD,0.1531,Medium
78,CUST100078,21,Other,Central,Retired,192829,729,Student,18486,8.84,120,Active,2019-08-01,2020-05-22,210.01,15462.52,USD,0.0145,Medium
79,CUST100079,72,Male,East,Retired,212707,645,Auto,66244,5.96,12,Active,2022-06-20,2022-11-03,4056.13,9242.33,USD,0.3216,High
80,CUST100080,76,Female,East,Employed,115108,787,Student,23241,4.71,12,Active,2016-08-31,2017-05-29,1561.51,1389.32,USD,0.2071,Low
81,CUST100081,41,Female,East,Retired,332592,607,Mortgage,670641,4.55,240,Active,2021-01-31,2025-08-19,3688.57,10197.19,USD,0.1537,High
82,CUST100082,40,Female,North,Unemployed,330973,695,Mortgage,562460,4.38,12,Closed,2015-09-22,2015-10-30,51740.65,418486.63,USD,1.74,Medium
83,CUST100083,66,Female,East,Unemployed,82906,646,Auto,75570,4.96,180,Active,2016-06-12,2016-12-02,521.22,15371.04,USD,0.0863,High
84,CUST100084,38,Other,West,Retired,232034,737,Mortgage,949414,3.07,180,Delinquent,2017-07-25,2025-08-19,6804.66,0.0,USD,0.3407,Medium
85,CUST100085,72,Male,South,Student,328738,688,Personal,49877,10.07,180,Active,2024-05-17,2024-10-20,486.56,26737.89,USD,0.0196,Medium
86,CUST100086,75,Female,East,Self-employed,143872,645,Auto,30036,5.66,24,Closed,2017-08-16,2019-05-21,1190.83,0.0,USD,0.1106,High
87,CUST100087,66,Other,West,Retired,347429,666,Student,120922,7.16,120,Active,2022-04-09,2022-07-08,1276.75,111024.01,USD,0.0488,Medium
88,CUST100088,21,Female,East,Employed,67341,724,Student,15753,6.25,60,Delinquent,2019-03-30,2021-11-28,275.91,4110.4,USD,0.0546,Medium
89,CUST100089,69,Female,North,Retired,110470,717,Personal,26389,10.91,180,Active,2023-04-02,2024-06-03,303.13,0.0,USD,0.0324,Medium
90,CUST100090,24,Other,West,Unemployed,152118,767,Credit Card,10854,16.33,36,Active,2019-07-24,2020-08-28,288.13,3570.06,USD,0.0302,Low
91,CUST100091,53,Female,East,Self-employed,295981,700,Personal,12813,17.41,180,Active,2024-03-25,2025-08-19,158.86,0.0,USD,0.0081,Medium
92,CUST100092,72,Male,Central,Retired,296054,628,Credit Card,9588,19.76,36,Active,2017-06-16,2018-05-01,363.54,5681.32,USD,0.0144,High
93,CUST100093,44,Female,South,Student,340127,611,Student,66342,6.67,120,Active,2024-09-15,2025-08-19,805.8,0.0,USD,0.0268,High
94,CUST100094,54,Female,West,Unemployed,220211,700,Auto,36174,5.8,36,Closed,2025-06-05,2025-07-01,1049.45,18618.67,USD,0.0598,Medium
95,CUST100095,53,Male,Central,Employed,169455,689,Student,29042,8.73,60,Active,2024-10-18,2025-08-19,642.31,12268.16,USD,0.0424,Medium
96,CUST100096,41,Male,West,Employed,216562,658,Mortgage,1859880,5.5,180,Delinquent,2024-07-06,2025-04-13,10870.57,1297599.45,USD,0.8421,Medium
97,CUST100097,71,Male,West,Student,342619,547,Credit Card,48660,19.92,240,Active,2016-11-19,2023-05-07,654.8,0.0,USD,0.0288,High
98,CUST100098,58,Other,West,Employed,78121,769,Credit Card,2077,20.22,60,Active,2023-09-12,2024-02-08,48.19,1579.46,USD,0.0085,Low
99,CUST100099,44,Male,North,Retired,209060,606,Credit Card,34267,19.2,240,Default,2025-06-07,2025-08-19,535.05,0.0,USD,0.0322,High
100,CUST100100,34,Other,North,Unemployed,55420,640,Mortgage,1717955,5.04,180,Closed,2017-02-18,2017-08-17,12509.88,1568120.67,USD,2.9494,High
101,CUST100101,29,Other,West,Student,115566,752,Personal,14211,6.53,60,Active,2025-07-28,2025-08-17,298.66,13654.49,USD,0.0289,Low
102,CUST100102,52,Female,East,Employed,120193,540,Mortgage,1915710,5.3,120,Active,2017-01-12,2021-02-27,18021.49,0.0,USD,2.0568,High
103,CUST100103,79,Female,East,Self-employed,280153,731,Credit Card,18479,22.41,240,Active,2016-07-10,2023-04-12,383.45,0.0,USD,0.015,Medium
104,CUST100104,24,Male,East,Unemployed,180692,680,Auto,68183,4.23,12,Default,2023-10-16,2024-02-04,4707.45,39118.28,USD,0.386,Medium
105,CUST100105,78,Male,North,Student,210479,705,Auto,14081,3.5,360,Active,2016-01-11,2016-05-27,50.23,10034.28,USD,0.0036,Medium
106,CUST100106,78,Other,North,Retired,100445,644,Credit Card,10023,18.88,240,Active,2019-03-01,2025-05-31,129.18,0.0,USD,0.0193,High
107,CUST100107,49,Other,West,Retired,81740,666,Student,61248,8.98,120,Active,2023-06-03,2025-08-19,604.71,0.0,USD,0.1138,Medium
108,CUST100108,29,Other,West,Employed,187556,759,Credit Card,36531,15.77,120,Active,2025-03-09,2025-08-19,617.32,24396.67,USD,0.0388,Low
109,CUST100109,30,Male,South,Student,33780,666,Student,149610,4.65,24,Active,2016-05-17,2016-12-06,7193.13,90748.44,USD,2.3233,Medium
110,CUST100110,67,Female,Central,Employed,85707,683,Personal,9410,16.54,36,Closed,2024-03-31,2024-07-19,300.39,6743.27,USD,0.0467,Medium
111,CUST100111,71,Male,Central,Self-employed,179448,649,Auto,55353,6.32,120,Delinquent,2025-02-14,2025-06-22,485.38,49118.36,USD,0.0417,High
112,CUST100112,58,Female,Central,Retired,68983,700,Credit Card,11105,14.23,180,Active,2025-02-01,2025-08-19,154.11,0.0,USD,0.026,Medium
113,CUST100113,59,Other,East,Self-employed,319964,676,Student,148019,5.45,120,Active,2021-01-20,2023-04-24,1639.5,98334.36,USD,0.0601,Medium
114,CUST100114,62,Male,South,Student,237905,697,Credit Card,10415,16.06,180,Active,2023-11-15,2025-08-19,115.4,0.0,USD,0.0077,Medium
115,CUST100115,38,Male,West,Employed,160232,693,Mortgage,708618,6.31,240,Delinquent,2018-06-03,2022-01-01,5336.44,0.0,USD,0.3898,Medium
116,CUST100116,30,Male,West,Retired,264745,699,Mortgage,288846,6.31,360,Active,2018-05-04,2024-11-17,1505.47,91972.24,USD,0.0811,Medium
117,CUST100117,74,Other,West,Unemployed,301380,648,Personal,27427,10.39,240,Active,2016-03-18,2020-07-29,229.68,0.0,USD,0.0108,High
118,CUST100118,46,Other,East,Retired,340362,646,Personal,37558,17.27,36,Active,2017-11-14,2018-12-30,1209.73,0.0,USD,0.0474,High
119,CUST100119,39,Female,Central,Student,98087,722,Personal,41178,9.82,240,Active,2022-07-21,2025-08-19,367.94,0.0,USD,0.048,Medium
120,CUST100120,49,Other,Central,Unemployed,268980,751,Mortgage,973548,5.04,12,Closed,2022-05-01,2022-07-07,90598.92,390022.12,USD,3.719,Low
121,CUST100121,67,Other,Central,Self-employed,46924,710,Credit Card,25916,13.92,60,Active,2015-12-29,2016-08-10,467.3,4245.96,USD,0.1539,Medium
122,CUST100122,44,Other,South,Student,283097,655,Student,142750,5.88,36,Active,2020-10-16,2021-10-01,3981.71,0.0,USD,0.1838,Medium
123,CUST100123,61,Other,East,Retired,273849,657,Credit Card,20562,14.92,120,Active,2024-04-14,2025-06-12,322.82,8655.71,USD,0.0145,Medium
124,CUST100124,53,Other,East,Unemployed,83897,716,Student,95474,8.77,36,Active,2018-11-23,2018-12-11,3274.34,89422.32,USD,0.4328,Medium
125,CUST100125,59,Female,West,Self-employed,125941,746,Credit Card,46624,15.53,24,Active,2022-07-17,2024-03-08,1808.18,0.0,USD,0.2165,Medium
126,CUST100126,32,Other,South,Employed,72532,668,Mortgage,1528563,5.7,12,Closed,2021-10-23,2021-11-18,126245.37,1265868.44,USD,21.7306,Medium
127,CUST100127,48,Female,South,Unemployed,188384,676,Mortgage,1467969,5.01,12,Active,2017-08-08,2017-09-22,134921.71,713913.86,USD,8.0055,Medium
128,CUST100128,68,Female,South,Unemployed,39643,708,Auto,76088,4.64,60,Active,2024-09-15,2024-12-08,1088.87,66124.49,USD,0.4309,Medium
129,CUST100129,29,Male,East,Unemployed,317680,722,Credit Card,42859,23.66,240,Active,2021-06-01,2022-05-22,733.78,0.0,USD,0.0322,Medium
130,CUST100130,48,Female,South,Employed,156726,678,Personal,22602,9.62,12,Active,2018-07-28,2019-01-28,1937.68,2771.17,USD,0.1518,Medium
131,CUST100131,37,Male,West,Retired,183042,754,Personal,25087,13.38,60,Default,2017-02-19,2017-07-25,507.76,7816.05,USD,0.0377,Low
132,CUST100132,41,Female,Central,Student,301814,784,Credit Card,6365,18.83,180,Active,2016-07-06,2019-01-11,77.06,0.0,USD,0.0042,Low
133,CUST100133,54,Other,South,Self-employed,192028,765,Auto,74071,3.32,360,Active,2024-09-15,2025-08-19,244.81,64965.0,USD,0.0203,Low
134,CUST100134,53,Female,East,Employed,227591,668,Student,95316,7.5,12,Active,2016-05-30,2016-06-07,6738.18,37430.41,USD,0.436,Medium
135,CUST100135,59,Other,West,Unemployed,220529,636,Student,103473,4.4,36,Active,2022-12-19,2023-04-19,2370.77,35858.61,USD,0.1672,High
136,CUST100136,64,Male,North,Employed,176428,686,Student,144443,5.9,60,Active,2018-05-31,2019-05-20,2122.9,63655.49,USD,0.1895,Medium
137,CUST100137,66,Male,North,Student,342396,733,Mortgage,613244,5.59,240,Closed,2020-07-23,2023-08-02,3344.09,362514.02,USD,0.1489,Medium
138,CUST100138,21,Male,Central,Unemployed,142768,821,Personal,38845,13.18,180,Active,2018-04-18,2019-11-25,542.86,645.84,USD,0.0417,Low
139,CUST100139,35,Male,Central,Retired,111820,722,Student,17290,8.86,240,Active,2024-06-13,2025-08-19,150.7,0.0,USD,0.0165,Medium
140,CUST100140,29,Other,West,Self-employed,138145,629,Student,20105,6.81,240,Active,2021-11-20,2023-05-23,131.38,0.0,USD,0.0133,High
141,CUST100141,23,Female,East,Employed,300827,728,Personal,25718,14.08,12,Active,2025-06-08,2025-06-14,2360.61,23407.89,USD,0.0922,Medium
142,CUST100142,31,Female,South,Unemployed,178957,697,Credit Card,47122,14.66,60,Active,2021-10-30,2022-08-15,948.26,24869.26,USD,0.0746,Medium
143,CUST100143,34,Female,Central,Student,264320,680,Auto,58589,4.1,12,Active,2021-12-12,2021-12-30,3526.45,43614.42,USD,0.2266,Medium
144,CUST100144,64,Female,East,Self-employed,122860,671,Auto,75444,4.93,180,Active,2018-07-11,2025-08-19,568.13,1211.63,USD,0.058,Medium
145,CUST100145,68,Female,South,Self-employed,306547,685,Credit Card,43061,24.44,12,Active,2025-01-17,2025-02-16,4192.0,38979.99,USD,0.1598,Medium
146,CUST100146,26,Other,South,Employed,99183,665,Credit Card,32667,20.57,12,Active,2015-09-18,2016-02-06,2623.87,8386.92,USD,0.3672,Medium
147,CUST100147,52,Female,North,Retired,245744,655,Credit Card,17542,22.6,120,Active,2024-07-21,2024-12-29,314.03,0.0,USD,0.0181,Medium
148,CUST100148,62,Male,East,Employed,36611,632,Credit Card,32195,12.73,12,Active,2023-07-09,2023-07-14,2584.18,26452.01,USD,0.9412,High
149,CUST100149,54,Male,Central,Employed,140463,776,Mortgage,255919,5.4,120,Closed,2021-09-23,2022-02-04,2133.66,56858.45,USD,0.2362,Low
150,CUST100150,19,Male,Central,Self-employed,228821,762,Credit Card,16759,19.37,240,Closed,2023-03-26,2025-08-19,230.19,0.0,USD,0.0145,Low
151,CUST100151,26,Other,North,Retired,201329,618,Mortgage,814274,5.12,240,Closed,2024-04-24,2024-08-23,5176.38,363752.24,USD,0.3235,High
152,CUST100152,46,Female,South,Unemployed,309951,779,Credit Card,44297,16.94,120,Active,2024-08-02,2025-08-19,560.32,20483.17,USD,0.0297,Low
153,CUST100153,68,Other,South,Student,186030,684,Personal,30146,10.32,120,Active,2016-10-13,2016-11-26,312.88,23686.12,USD,0.026,Medium
154,CUST100154,44,Male,North,Employed,205553,713,Personal,26246,6.15,240,Active,2019-12-27,2021-11-19,188.4,0.0,USD,0.0111,Medium
155,CUST100155,33,Other,Central,Self-employed,219613,653,Personal,33317,7.75,36,Closed,2020-07-06,2021-02-06,852.86,15633.68,USD,0.0568,Medium
156,CUST100156,41,Female,South,Student,331325,722,Auto,49932,3.02,240,Closed,2019-05-13,2025-08-19,236.35,0.0,USD,0.01,Medium
157,CUST100157,46,Female,West,Retired,91368,648,Auto,72784,4.1,240,Closed,2019-03-21,2024-09-21,483.65,39861.3,USD,0.0584,High
158,CUST100158,38,Female,East,Student,211373,608,Credit Card,36758,14.34,12,Closed,2023-10-17,2024-04-15,2591.66,13614.05,USD,0.1877,High
159,CUST100159,71,Other,North,Student,281778,646,Personal,44166,7.85,240,Active,2024-06-27,2025-04-25,321.34,9096.26,USD,0.0156,High
160,CUST100160,52,Other,West,Retired,39275,746,Credit Card,39916,20.3,24,Active,2016-11-11,2017-07-23,1962.11,0.0,USD,0.6225,Medium
161,CUST100161,20,Other,West,Unemployed,245682,586,Credit Card,39044,20.94,60,Active,2020-08-20,2021-09-24,933.87,14780.06,USD,0.0515,High
162,CUST100162,27,Female,North,Student,74813,736,Personal,30840,15.41,360,Active,2019-07-18,2021-09-24,350.18,0.0,USD,0.0642,Medium
163,CUST100163,37,Male,North,Employed,199871,747,Auto,41970,4.81,36,Active,2019-05-08,2021-09-27,1358.89,0.0,USD,0.0753,Medium
164,CUST100164,29,Male,West,Student,35305,690,Mortgage,1577937,3.75,120,Closed,2024-01-28,2024-10-10,14698.63,156923.96,USD,5.3666,Medium
165,CUST100165,52,Male,East,Unemployed,123323,694,Student,143337,8.83,180,Active,2022-05-02,2025-08-19,1233.56,840.41,USD,0.1401,Medium
166,CUST100166,47,Other,South,Unemployed,342166,728,Personal,8724,8.86,24,Active,2017-09-09,2017-11-20,359.92,4346.07,USD,0.014,Medium
167,CUST100167,42,Female,South,Student,301741,756,Auto,31871,4.71,36,Closed,2017-09-26,2018-12-31,901.38,12849.83,USD,0.0378,Low
168,CUST100168,78,Male,West,Self-employed,122303,701,Student,113955,7.55,360,Closed,2021-02-12,2022-01-16,741.57,45895.92,USD,0.0786,Medium
169,CUST100169,32,Female,North,Unemployed,137882,704,Student,134843,6.75,24,Closed,2022-01-22,2022-02-25,6082.49,116777.01,USD,0.5241,Medium
170,CUST100170,41,Other,North,Student,306446,649,Auto,49021,6.06,12,Active,2020-09-06,2020-10-20,4409.83,32139.34,USD,0.1653,High
171,CUST100171,25,Male,South,Retired,203831,795,Student,48511,7.08,60,Active,2024-10-05,2024-11-04,893.14,35999.7,USD,0.0567,Low
172,CUST100172,28,Female,East,Unemployed,320278,610,Auto,61472,4.71,120,Active,2022-09-05,2024-10-12,566.64,27375.66,USD,0.0241,High
173,CUST100173,23,Female,Central,Unemployed,213499,690,Credit Card,1162,23.3,24,Active,2023-11-01,2024-09-21,58.94,307.57,USD,0.0034,Medium
174,CUST100174,52,Female,South,Student,131071,699,Personal,23135,12.57,36,Active,2021-12-26,2024-03-12,648.83,0.0,USD,0.0709,Medium
175,CUST100175,24,Other,West,Employed,85136,537,Personal,7117,13.86,120,Active,2016-07-24,2020-04-14,116.67,1951.47,USD,0.0155,High
176,CUST100176,37,Other,South,Student,67814,697,Auto,78084,5.38,12,Default,2015-09-24,2016-03-17,6877.98,4404.02,USD,1.1853,Medium
177,CUST100177,45,Other,South,Student,57134,669,Mortgage,316429,4.1,120,Active,2017-03-05,2017-12-02,3079.15,161929.01,USD,0.676,Medium
178,CUST100178,54,Male,Central,Self-employed,250738,680,Auto,63963,5.16,360,Active,2025-04-13,2025-08-19,370.15,25151.97,USD,0.0167,Medium
179,CUST100179,64,Female,East,Student,184890,739,Mortgage,620443,4.94,120,Closed,2024-05-16,2025-08-19,4664.22,0.0,USD,0.4259,Medium
180,CUST100180,74,Female,South,Retired,338204,703,Personal,43347,6.65,60,Active,2021-03-10,2021-07-03,677.91,22918.62,USD,0.0302,Medium
